pmid;Manual Class
1444882;AD
1738004;AD
2360411;AD
3568708;AD
3810169;FAD
7790979;AD
9132706;AD
11412013;AD
12528818;AD
12844556;AD
14720173;AD
15277174;AD
15910550;FAD
16712495;FAD
18506455;AD
21709248;FAD
23388499;AD
23532874;AD
23850330;FAD, EOAD, LOAD
24088404;PD, EOAD, LOAD
24217277;AD
24967550;AD
25533477;AD
25902149;LOAD
26718979;AD
27143430;LOAD
27213057;AD
22614246;AD
1642228;FAD, EOAD, LOAD
25164377;FAD, EOAD
28143566;FAD
23333464;FAD
19103277;FAD
16181553;FAD
12670422;FAD
2880399;FAD
8347821;EOAD
22402892;AD
27000658;AD
27671875;AD
23831058;AD
24117480;AD
28547865;AD
25531153;AD
25752209;AD
27127658;AD
23314940;AD
28004889;AD
27984697;AD
29501742;AD
25934229;AD
23326437;AD
18925487;AD
20383142;AD
21367866;AD
18505838;AD
19689163;AD
20454932;AD
16914866;AD
20523048;AD
20605004;AD
19955704;AD
21636582;AD
19747159;AD
19332395;AD
18007111;AD
21047545;AD
22152106;AD
19500576;AD
21147664;AD
20842339;AD
22002431;AD
16371011;AD
21763436;AD
18258207;AD
11777543;AD
12106813;AD
12391608;AD
12020857;AD
11263499;AD
10936685;AD
10539126;AD
9839715;AD
15763178;AD
10672235;AD
12222959;AD
10332536;AD
14572447;AD
9987013;AD
15339642;AD
1281953;AD
1783619;AD
1837142;AD
8561843;AD
19264117;AD
2960633;AD
9060276;AD
9052903;AD
1611059;AD
8954381;AD
