"_id";cui;label;pmid;title
5b0d6c413e11593598464832;C0013264;Muscular Dystrophy, Duchenne;19859888;[Contiguous gene deletion syndrome in Xp21: an unusual form of presentation].
5b0d6c413e11593598464833;C0013264;Muscular Dystrophy, Duchenne;20139501;Duchenne muscular dystrophy: a clinical, histopathological and genetic study at a neurology tertiary care center in Southern India.
5b0d6c413e11593598464834;C0013264;Muscular Dystrophy, Duchenne;20461184;Quantitative Assessment of the T2 Relaxation Time of the Gluteus Muscles in Children with Duchenne Muscular Dystrophy: a Comparative Study Before and After Steroid Treatment
5b0d6c413e11593598464835;C0013264;Muscular Dystrophy, Duchenne;20523110;Antisense-mediated modulation of splicing: therapeutic implications for Duchenne muscular dystrophy.
5b0d6c413e11593598464836;C0013264;Muscular Dystrophy, Duchenne;20621521;Cerebral infarction in Duchenne muscular dystrophy.
5b0d6c413e11593598464837;C0013264;Muscular Dystrophy, Duchenne;20687186;Joseph's wishes: ethical decision-making in Duchenne muscular dystrophy.
5b0d6c413e11593598464838;C0013264;Muscular Dystrophy, Duchenne;21067698;High frequency chest wall oscillation plus mechanical in-exsufflation in Duchenne muscular dystrophy with respiratory complications related to pandemic Influenza A/H1N1.
5b0d6c413e11593598464839;C0013264;Muscular Dystrophy, Duchenne;21150048;Gene changes in Duchenne muscular dystrophy: comparison of multiplex PCR and multiplex ligation-dependent probe amplification techniques.
5b0d6c413e1159359846483a;C0013264;Muscular Dystrophy, Duchenne;22830166;Comparison of serum creatine kinase estimation with short tandem repeats based linkage analysis in carriers and affected children of Duchenne muscular dystrophy.
5b0d6c413e1159359846483b;C0013264;Muscular Dystrophy, Duchenne;12067449;Problems and solutions in myoblast transfer therapy.
5b0d6c413e1159359846483c;C0013264;Muscular Dystrophy, Duchenne;21267511;Peptide-based inhibition of NF-κB rescues diaphragm muscle contractile dysfunction in a murine model of Duchenne muscular dystrophy.
5b0d6c413e1159359846483d;C0013264;Muscular Dystrophy, Duchenne;21275309;Angiotensin-converting enzyme inhibitors and beta-blockers in cardiac asymptomatic patients with Duchenne muscular dystrophy.
