pmid;cuis
15694376;"[""C0205307:1"",""C0040649:1"",""C0917731:1"",""C1414083:8"",""C0560435:1"",""C1293116:1"",""C0439064:1"",""C0205453:1"",""C1511573:2"",""C0002345:2"",""C0086860:1"",""C0596988:1"",""C0034865:1"",""C1704258:1"",""C0026845:1"",""C0001613:1"",""C0026882:1"",""C0439603:1"",""C1955394:1"",""C0206745:3"",""C0596508:3"",""C0015252:1"",""C0026809:1"",""C0017337:1"",""C0333606:1"",""C0221099:1"",""C0547044:1"",""C0015295:2"",""C0025914:1"",""C0013935:1"",""C0332272:1"",""C0017446:1"",""C1517001:1"",""C1517741:1"",""C0205145:2"",""C0043292:1"",""C0205245:1"",""C1512140:1"",""C0449913:1"",""C1850647:1"",""C0443348:2"",""C0033268:1"",""C0017428:1"",""C0006104:1"",""C0013264:1"",""C0205314:1"",""C0870432:1"",""C1514965:1"",""C0127400:1"",""C0332197:1"",""C0004927:1"",""C0439751:1"",""C0026339:1"",""C1279901:1"",""C0599773:1""]"
23552961;"[""C0007634:1"",""C1261381:1"",""C3161035:2"",""C0877009:1"",""C0205449:3"",""C0028259:3"",""C0036537:1"",""C1254351:2"",""C1749467:1"",""C0009325:4"",""C0205234:1"",""C0392756:2"",""C0040616:2"",""C0087111:4"",""C1521761:1"",""C1280500:2"",""C2349179:1"",""C0016030:4"",""C0237881:1"",""C0016059:1"",""C0237753:1"",""C0220908:1"",""C0057252:4"",""C0450363:1"",""C0567416:1"",""C1704332:1"",""C3245505:1"",""C0010454:1"",""C0205314:1"",""C1171362:1"",""C1519595:1"",""C0333562:1"",""C0228505:2"",""C0332324:1"",""C0015350:1"",""C1518422:1"",""C0026848:1"",""C0872187:1"",""C0039593:1"",""C0205208:1"",""C0205191:1"",""C0016055:3"",""C0872351:1"",""C0026845:1"",""C0205177:1"",""C0332519:1"",""C0443211:1"",""C0205171:1"",""C0449913:1"",""C0038880:4"",""C0596570:1"",""C0205396:1"",""C0334129:9"",""C3827682:1"",""C0699748:1"",""C0013264:1"",""C0037982:5"",""C0013227:1"",""C1515654:2"",""C3266814:1""]"
16285002;"[""C3245505:1"",""C1444716:1"",""C1839839:1"",""C1314680:2"",""C0917713:2"",""C0039796:1"",""C0033684:3"",""C0017337:1"",""C0015295:4"",""C0002085:1"",""C0220781:1"",""C0026882:3"",""C2985434:1"",""C3854028:1"",""C0205245:2"",""C0205198:1"",""C2257086:1"",""C0599533:1"",""C0947630:1"",""C0026845:1"",""C0185115:1"",""C1286282:1"",""C1511760:1"",""C0449851:1"",""C0947647:1"",""C0205373:1"",""C1707478:1"",""C0205360:1"",""C1881903:3"",""C1706907:1"",""C0332197:2"",""C0040300:1"",""C0392747:1"",""C0518609:1"",""C1519595:2"",""C0544885:1"",""C0037949:1"",""C1626935:1"",""C1414083:6"",""C2986594:1"",""C0012634:1"",""C3538928:1"",""C0079925:4"",""C0026850:1"",""C0034760:1"",""C0150312:1"",""C0013264:1"",""C0600500:1"",""C0683525:1"",""C0560435:1"",""C0080089:1"",""C0201682:1"",""C1749524:1"",""C0678594:1"",""C0206535:1""]"
22801582;"[""C1293091:1"",""C1299586:1"",""C0038951:1"",""C1514923:1"",""C0015967:1"",""C0020028:1"",""C0020461:1"",""C1274040:1"",""C0205210:2"",""C0392823:1"",""C0017302:1"",""C0035363:1"",""C0456388:1"",""C0010464:1"",""C2699424:1"",""C0033487:1"",""C0002903:4"",""C3245512:1"",""C1707689:1"",""C1705938:1"",""C0332173:1"",""C0018017:1"",""C1707478:1"",""C1510992:1"",""C0032786:1"",""C0001554:1"",""C0035647:1"",""C0681760:1"",""C0456904:1"",""C0183683:1"",""C0242402:1"",""C0598697:1"",""C0439531:1"",""C0035410:2"",""C3830550:1"",""C1555794:1"",""C0441471:1"",""C0162791:1"",""C0542559:1"",""C0473965:1"",""C0919636:1"",""C1511545:1"",""C1514873:1"",""C3715024:1"",""C0205281:1"",""C1517331:1"",""C1334043:1"",""C0597198:1"",""C0030705:7"",""C0439849:2"",""C0205164:1"",""C3553373:1"",""C0033522:1"",""C0392008:1"",""C0442805:1"",""C0205454:1"",""C0013264:3""]"
19116248;"[""C0678594:1"",""C3161035:1"",""C0441833:1"",""C1709016:1"",""C0596997:2"",""C0456205:1"",""C1513400:1"",""C0237753:2"",""C3178810:2"",""C0026820:1"",""C1705242:1"",""C0026845:2"",""C1710548:3"",""C1519595:2"",""C0013264:1"",""C0334094:3"",""C0242692:1"",""C0442805:2"",""C2936608:1"",""C0205314:1"",""C0038250:4"",""C1510438:1"",""C1510941:1"",""C0444667:1"",""C1171947:1"",""C0332197:1"",""C0007634:1"",""C0599856:2"",""C0205250:1"",""C1705938:1"",""C1704243:3"",""C1282910:1"",""C0439598:2"",""C0870134:1"",""C1413336:1"",""C1995013:1"",""C0205156:1"",""C1533691:1"",""C0039796:1"",""C0012634:1"",""C0923486:2"",""C0314648:1"",""C0241886:11"",""C1292721:2"",""C0037747:2"",""C1516240:3"",""C0007600:1"",""C0028863:1"",""C1704787:1""]"
18646563;"[""C0032520:2"",""C0229664:1"",""C0750860:1"",""C0206415:2"",""C1527178:1"",""C0868928:2"",""C0205456:1"",""C1516634:1"",""C0205171:1"",""C0449774:1"",""C1414083:8"",""C1705242:2"",""C0017260:1"",""C1510568:1"",""C1274040:2"",""C0439165:1"",""C0017261:2"",""C0936012:2"",""C0439242:1"",""C0205250:1"",""C0549177:1"",""C0205393:1"",""C0337801:3"",""C0205419:1"",""C0015295:3"",""C0205164:1"",""C2700280:1"",""C2603343:3"",""C0185283:1"",""C0917713:1"",""C0026068:1"",""C0030705:2"",""C2741673:1"",""C0205448:1"",""C0017337:5"",""C3830527:1"",""C3715206:1"",""C0001745:1"",""C0012854:2"",""C0449851:1"",""C0205447:1"",""C0243140:1"",""C3816449:1"",""C1709707:1"",""C0205225:1"",""C0013715:1"",""C0205147:1"",""C1511726:2"",""C1522508:1"",""C0442711:1"",""C2733022:1"",""C0205284:1"",""C3179032:1"",""C0263214:2"",""C0457083:1"",""C0441889:1"",""C0011900:1"",""C0205156:2""]"
22166894;"[""C0449719:1"",""C0010181:2"",""C0013264:1"",""C0868928:1"",""C0026882:1"",""C0017260:1"",""C0017337:1"",""C0205238:4"",""C3827682:1"",""C1511790:1"",""C1518422:2"",""C2603343:3"",""C0022885:2"",""C0439083:1"",""C1708485:1"",""C1120859:4"",""C0015780:3"",""C3858758:2"",""C0015576:1"",""C1882348:1"",""C0030705:4"",""C0206243:1"",""C1285162:1"",""C2986490:1"",""C2349975:1"",""C1302234:1"",""C0441833:1"",""C0086582:3"",""C0027361:1"",""C0679646:1"",""C1265611:1"",""C0439831:1"",""C0392762:2"",""C0035647:2"",""C1979768:1"",""C0032043:1"",""C0205307:1"",""C0014441:5"",""C0481667:1"",""C0033053:1"",""C0205447:1"",""C0370003:2"",""C0032520:2"",""C0011900:2"",""C0086418:1"",""C0312586:1"",""C2700280:1"",""C1414083:1""]"
24992353;"[""C0205447:1"",""C0449851:1"",""C1706907:1"",""C1518422:1"",""C3843708:1"",""C0040223:1"",""C1961768:1"",""C0410698:1"",""C1563018:2"",""C1514923:1"",""C0543467:1"",""C0206427:1"",""C0205351:1"",""C0264192:1"",""C1521828:3"",""C0445204:1"",""C0582026:1"",""C1266909:1"",""C0231174:3"",""C0205171:2"",""C0725704:3"",""C0013264:1"",""C0011900:1"",""C1979768:1"",""C0001779:1"",""C0030797:6"",""C0598697:1"",""C0301559:7"",""C0205250:1"",""C0542560:2"",""C1279919:2"",""C0332466:1"",""C0589058:1"",""C0870071:1"",""C0030705:4"",""C1707478:1"",""C3816449:1"",""C0563192:1"",""C0005975:5"",""C1514721:2"",""C2827421:1"",""C0547044:1"",""C0080178:1"",""C0018670:1"",""C1274040:1"",""C0441889:1"",""C0206248:1"",""C1512693:1"",""C0205210:1"",""C0007789:1"",""C0238767:1"",""C0439231:1"",""C0020889:9"",""C0439234:1""]"
10931515;"[""C0150312:1"",""C3245512:1"",""C1280519:1"",""C0700325:1"",""C1510992:1"",""C0205146:1"",""C0332183:1"",""C1272706:1"",""C0018684:1"",""C0237753:1"",""C0205173:1"",""C1883708:1"",""C0017446:1"",""C1550501:2"",""C0009667:1"",""C0034772:1"",""C0242503:1"",""C0681899:3"",""C1511876:1"",""C2741673:1"",""C0205134:2"",""C0030351:1"",""C0027361:1"",""C0005516:1"",""C0205163:1""]"
23538453;"[""C0460005:1"",""C2603343:2"",""C0205131:1"",""C1964257:1"",""C0439234:2"",""C0035203:1"",""C0205393:1"",""C0026649:9"",""C1880497:3"",""C0205352:1"",""C0027361:1"",""C1707478:1"",""C0008679:1"",""C0042153:1"",""C0231902:1"",""C0018670:1"",""C0205329:1"",""C0441722:1"",""C3714517:1"",""C0870221:2"",""C2986479:1"",""C1511726:1"",""C0220922:1"",""C1321587:1"",""C0444499:1"",""C0680063:1"",""C1261322:3"",""C1328799:1"",""C0042655:1"",""C1274040:1"",""C3816724:1"",""C0449851:5"",""C0814423:1"",""C3842590:1"",""C0336791:1"",""C0013264:1"",""C1706907:1"",""C1518422:1"",""C1067936:1"",""C0549075:1"",""C0018017:2"",""C0237753:1"",""C0008059:1"",""C0231186:6"",""C0079809:5"",""C0037004:1"",""C0205229:2"",""C1879743:1"",""C0817096:3"",""C0205448:1"",""C0678257:1"",""C0750492:1"",""C1705242:1"",""C0441833:2"",""C1704243:1"",""C1522138:1"",""C0348080:1""]"
12520997;"[""C0017382:1"",""C0449851:1"",""C0085732:2"",""C1416989:1"",""C0037047:1"",""C0017337:2"",""C1705285:1"",""C0033053:2"",""C0011900:2"",""C0058272:1"",""C0439166:1"",""C0013364:1"",""C2347946:1"",""C0449438:2"",""C0012634:2"",""C0241664:1"",""C0205447:4"",""C0333679:1"",""C1882417:1"",""C0439064:1"",""C3151529:1"",""C0680022:1"",""C2825407:6"",""C1510992:1"",""C3842589:1"",""C0332149:1"",""C1518422:3"",""C0015780:5"",""C0030705:3"",""C0026882:1"",""C0015295:1"",""C0443196:2"",""C1444641:1"",""C0868928:1"",""C0205451:1"",""C0011011:2"",""C3542021:1"",""C1519303:1"",""C2745945:1"",""C0043292:1"",""C1845977:1"",""C1414083:1"",""C0032520:2"",""C0007294:1"",""C0205307:3"",""C0936012:2"",""C0023745:1"",""C0080103:1"",""C0086582:2"",""C0205172:1"",""C0002085:1"",""C0449439:2"",""C0015576:5"",""C0018591:2""]"
24986949;"[""C0035648:1"",""C0035110:1"",""C0347985:3"",""C1521761:1"",""C0441833:2"",""C0013264:1"",""C0205250:1"",""C1511726:1"",""C0332287:2"",""C0009566:6"",""C1524031:1"",""C0332257:1"",""C1522138:1"",""C0001779:1"",""C1561607:3"",""C0007789:1"",""C1879533:1"",""C1710548:1"",""C1521828:6"",""C0043241:4"",""C0235378:5"",""C0030705:7"",""C0205393:1"",""C0699864:1"",""C0450348:1"",""C0442805:3"",""C0205448:1"",""C0205549:1"",""C1707491:1"",""C0442759:1"",""C0011298:1"",""C0593972:1"",""C0205125:4"",""C0027868:4"",""C1882154:3"",""C0021149:1"",""C0161819:1"",""C0410698:1"",""C0086582:1"",""C1522577:1"",""C0450367:1"",""C0036439:2"",""C0439234:2"",""C0854477:1"",""C0079027:1"",""C0150905:1""]"
12194388;"[""C0205393:1"",""C0017296:1"",""C0687676:1"",""C0012854:1"",""C1881358:2"",""C0521116:1"",""C0449851:1"",""C1280477:1"",""C0392747:1"",""C0443252:1"",""C0242692:1"",""C0333607:2"",""C0017189:2"",""C0521324:1"",""C0025936:1"",""C0439858:1"",""C1533685:1"",""C0332197:1"",""C1272703:1"",""C0872178:1"",""C0686907:1"",""C0225828:1"",""C0596981:2"",""C0582263:1"",""C0087111:2"",""C0086022:2"",""C0087113:1"",""C0206535:1"",""C0332268:1"",""C1265611:1"",""C1521970:2"",""C0679006:1"",""C0086418:1"",""C0547044:1"",""C1522138:1"",""C0205314:1"",""C2828395:1"",""C0439231:1"",""C0013264:1"",""C1314680:3"",""C1522425:1"",""C0442335:7"",""C0012634:2"",""C0001483:1"",""C3151529:2"",""C0015295:1"",""C1520007:1"",""C0026845:1"",""C1701901:1"",""C1511726:1"",""C0521026:1"",""C0079613:1"",""C1444754:1"",""C3161035:1"",""C0042774:1"",""C0079941:1"",""C1414083:6"",""C0205450:1"",""C3539125:1"",""C3827682:1"",""C2348792:1"",""C0030705:1"",""C0443225:1"",""C0549177:1""]"
